Comments,Label
జగన్ వెళ్తే మాత్రం మెడలు ఎక్కడ వంచేస్తాడో అని ఉచ్చ పోసుంటారేమో ఐతే,hate
"నువ్వు ఉండటం మాత్రం కష్టమే.....,.....నిన్ను ఎవ్వడో ఒక్కడు వెస్తడు...",hate
"అరేయ్ వెధవ చంద్రబాబు నాయుడు ,,,,,, ప్రపంచానికి తెలుసు రా",hate
అస్సలు ఈ కొడాలి గాడికి అమిత్ షా కలుస్తాడా,hate
నేను జంతువును  నాకు అటువంటి ఫీలింగ్స్ ఏమి ఉండవు.,hate
వీడు డైరెక్టర్ అయుండకుంటే వీడిని ఏ ఒక్కరూ పట్టించు కునే వారే కాదు,hate
కామాంధులను అడిగి క్వశ్చన్ కరెక్ట్,hate
వాళ్ళమ్మ కూడా అంతె అమె కూడా చాలా ఈజీ గా తీసుకుంటారు.,hate
ఇటువంటి ప్రశ్నలు మీరు అడగడానికి మీకు సిగ్గుండాలి.,hate
జంతు సంస్కృతి ఉన్న ఈ వెధవని ఒక గొప్ప వాడిగా చూపించడ మేమిటి,hate
ఎలాంటి ఎదవలకి ఇండ్రు ఎందుకు,hate
చెత్త పన్ను ఏందిరా నాయనా....,hate
చల్లగా నెత్తి మీద చెయ్యి పెట్టాడు..,hate
నువ్వు కూడా ఒక్కొక్కడికి ఒక్కొక్క ఛాన్స్ ఇవ్వు జంగ్లీ. ఇప్పటికే నాశనమై చస్తుంటే మళ్ళీ ఇది ఒకటి వచ్చింది.,hate
వేలుపెట్టి గెలకండి సమ్మగా ఉంటుంది మంగలి కి,hate
దీన్ని ఒక్కసారి AP లో తిప్పితే తెలుస్తుంది ఫ్యాన్ ఎంత చల్లగా వుందో ఇప్పుడు. పదవి కొట్టేసింది.,hate
నిపుకు పెడతా చల్లగా ఉంటాడా,hate
దీని వాయిస్ దరిద్రంగా ఉంటుంది,hate
battalu sarigga vesuko va,hate
nuvvu nee voice cheraku dobbuthunti,hate
dheniki pelliyenti varada adi,hate
lanja laga vunnav,hate
kojja daga niku edi avasarama,hate
ni boobs chusta moodu aagadu,hate
ni shape challa  bagundi aa,hate
Daane todalu tomu gaadeda,hate
ఐతే వెళ్ళి ఎవడిదైనా kuduvu ra,hate
లక్ష్మీ పార్వతిని మాయలో పడి అలా అనిపించిందా.,hate
తెచ్చుకున్నాం కదా కోరి కోరి దరిద్రం మన అనుభవించక తప్పదు జై జనసేన,hate
"జలగ పాలనలో వాచిపోతోంది,ఇంక మనం ఆంధ్రాలో ఉండలేము",hate
ఇప్పుడు YCP ki antha seen ledhu బులుగు batch dhammunte yedhi prnchakunda వుంటారా,hate
Ycp ki votu vesi chaaaala thappu chesaa,hate
రాష్ట్రంలో జిల్లాలకు పేర్లు యూనివర్సిటీ పేర్లు మార్చుకుంటూ తిరగడం తప్ప ఈడు ఏమీ పీకింది లేదు,hate
Ma అన్నయ్య ఫ్యాన్స్ ఉచ్చ పోస్తే ఆ వుచ్చలో కొట్టుకుపోతవు ల.......,hate
స్నేహితులారా దాన్ని చెప్పుతో కొట్టండి,hate
420 reddy lenja vachhindi,hate
neeku chitikipoye రోజు tondaralo రావాలని కోరుకునే వారిలో నేను ఒకడిని,hate
దోచాడు జైలు కి వెళ్ళాడు .. మళ్లి వెళ్తాడు తొందర్లో ...,hate
దీన్ని ఎర్రగడ్డ హాస్పిటల్ లో పడేయాలి,hate
ఏం బుకింగ్ లు రావడం లేదా నివు ఇంకొంచం విప్పాలి,hate
ఎందులో పెంచాలి నిన్ను ఏయడం లో నా,hate
పోతాడు లే వాళ్ళ నాన్న లాగే త్వరలో .. నువ్వు కూడా రేపు మాపో కత్తి మహేష్ లాగా పోతావ్,hate
Nvu chala peddavi ga pechavu gaaa .....,hate
సళ్ళు బాగా పెంచావ్.,hate
దీన్ని ఎవరికైనా చూపించండ్రా,hate
నీకు బలిసిందే  బాగా ,hate
రోకలి బండి సరిపోయిద నికు,hate
Neee brest bagundhi aa ,hate
రోకలి బండి సరిపోయిద నికు,hate
ఇప్పటికే అంత లావుగా ఉన్నాయ్ ఇంకా పెంచాలా దేవుడా ఇంకెంత కావాలి gd దాన,hate
"అవతార్ లోని హీరో మadda కావాలి దీనికి, అప్పుడు సరిపోతుంది",hate
Nevi chest baga size vachai okati okati football size unadh,hate
నువ్వు ఎలా బ్రతుకుతున్నావే ,hate
డోస్ పెంచాలి ఒకేసారి పదిమంది తో పడుకున్నా సరిపోవడం లేదు ఇంకాస్త పెంచాలి,hate
alrady pedda sizule kada pindithe nelaki maku milk bill migulthadhi,hate
Red light area ki vellu va nuvu correct ga set aavutav akkada,hate
ఇలాంటి వాడు రాష్ట్రం సీఎం చీ,hate
ఎవడ్రా బాబు నిన్ను cm అంది దరిద్రుడు సిగ్గుచేటు,hate
"ఒరేయ్ నీవు ఎలా చదువుకున్నావో, అర్ధం అవుతుందిరా",hate
Vesukovadam endhuku aa lanja  malli peekkovadam endhuku ️️️️,hate
కొబ్బరి బొండాలు కన్నా పెద్దగా ఉన్నాయ్,hate
ఈ చెత్త రాతలు కూతలు డీపీలు కే సరిపోయింది,hate
niku vote vasavadikina siggu vundali,hate
మీ సళ్ళు జాగ్రత్త aa,hate
మాకు ఏంది ఈ కర్మ ఎన్ని రోజులు వినాలి మీ మాటలు ,hate
వేసుకోవడం దేనికి దాచుకోవడం దేనికి,hate
దీనమ్మ జీవితం.... కళ్ళు చెదిరిపోయయి....,hate
మీకు దండం పెడతా ఈ మ్యూజిక్ ఏందిరా నాయనా,hate
శేఖర్ పిచ్చిపట్టినట్లు చేస్తున్నాడు డాన్స్,hate
ప్రేక్షకులని ఏదవలని చేయడంలో మీరు దిట్ట,hate
"E government ki ఎవరూ ఎదురు మాట్లాడకూడదేమో, రాక్షస పాలన",hate
ఆ రోగాలు కచ్చితంగా నీ వల్లే వచ్చి ఉంటాయి aa,hate
"మొహం మీద మాస్క్ ఎందుకు రా, బయటకు వస్తే కుక్కను కొట్టినట్టు kodathaaru అని భయం.",hate
Manam em peekalem .,hate
ఒక్క సీటు కూడా గెలవలేనోనికి ఇంత బిల్డప్పా..,hate
ఫిగర్ మస్తు సూపర్ ఉంటది,hate
Kinda gokuthadu,hate
Avi todala masala vadala,hate
"నేను కాపు కాదురా luccha,",hate
జగన్ & కో కులం మతం ప్రాంతాల మధ్య చిచ్చు పెట్టి చలిమంట కాచుకొనే దండుపాళ్యం బాచ్,hate
పవన్ కల్యాణ్ గారి బూట్లు పాలిష్ చేయడనికి కూడా పనికి రాని ప్రతి చిల్లర గాడు ఆయన గురించి మాట్లాడమే,hate
రండిరా మీరు ఎప్పుడు వస్తారా మా ఇంటికి అని చీపురు కట్టతో చూస్తున్నా,hate
సరిగ్గా నువ్వు బొక్కలో ఉండి చిప్పకూడు తిన్నన్ని నెలలన్నమాట ఇదేదో దేవుడి స్క్రిప్ట్ లా ఉందే,hate
గడప తొక్కితే చీపురు దెబ్బ ప్రోగ్రాం... ప్రజలది....,hate
అందుకునే రా నిన్ను జైల్ జలి రెడ్డి అంటారు,hate
వీడికి బెడ్రూమ్ లకు పోయే అలవాటు ఉన్నట్టు ఉంది,hate
వెటకారం కి తప్ప రాష్ట్ర అభివృధి కి పనికి రాని సీఎం,hate
Konni rojule ee comidy..next nuvvu jail lo chippakudu.,hate
నీ ఛాలెంజ్ మా అన్నకు వెంట్రుకతో సమానం పోవే,hate
నగరి లో పోటీ 2024 చేయి నీకి ఈసారి క్రింద పైన చినగక పోతే,hate
వైసీపీ వాళ్లు ఇప్పుడు టిడిపిని చూసిన పై పడతలేదు పవన్ ను చూస్తే ఉచ్చ పోసుకుంటున్నారు,hate
